file,bits,method,snr_db,mse,subjective
sing_low1.wav,2,a_law,-17.503829218047112,0.0013135784019164798,poor / distorted
sing_low1.wav,2,mu_law,-11.384154665240453,0.00032098781301804146,poor / distorted
sing_low1.wav,2,dpcm_np1,-33.6790411731998,0.05444740610159928,poor / distorted
sing_low1.wav,2,dpcm_np3,-34.332856269816176,0.06329344058794914,poor / distorted
sing_medium1.wav,8,a_law,26.2025900575229,4.42244080124349e-06,good
sing_medium1.wav,8,mu_law,37.42845188413594,3.3348464766895265e-07,transparent
sing_medium1.wav,8,dpcm_np1,25.57825657816729,5.106171250925299e-06,good
sing_medium1.wav,8,dpcm_np3,25.283903460183637,5.464251597300499e-06,good
sing_medium1.wav,7,a_law,25.349470713861344,5.382375123246931e-06,good
sing_medium1.wav,7,mu_law,31.349980603746936,1.3518327808814329e-06,good
sing_medium1.wav,7,dpcm_np1,19.507761275134005,2.0660694041108048e-05,audible artifacts
sing_medium1.wav,7,dpcm_np3,18.931694629188335,2.3591283574630535e-05,audible artifacts
sing_medium1.wav,6,a_law,23.12170138439899,8.989817917103463e-06,audible artifacts
sing_medium1.wav,6,mu_law,25.216063184949945,5.550277731468001e-06,good
sing_medium1.wav,6,dpcm_np1,13.402917806961906,8.426151303121901e-05,noisy but intelligible
sing_medium1.wav,6,dpcm_np3,12.077736851163445,0.00011432661599253255,noisy but intelligible
sing_medium1.wav,5,a_law,18.989275419202393,2.3280563709083275e-05,audible artifacts
sing_medium1.wav,5,mu_law,18.985527747907934,2.330066195102606e-05,audible artifacts
sing_medium1.wav,5,dpcm_np1,7.210259366541777,0.0003506671609484556,poor / distorted
sing_medium1.wav,5,dpcm_np3,5.199089798203547,0.0005572012141543997,poor / distorted
sing_medium1.wav,4,a_law,12.687794000247477,9.934399802920081e-05,noisy but intelligible
sing_medium1.wav,4,mu_law,12.434818251193821,0.00010530262774273989,noisy but intelligible
sing_medium1.wav,4,dpcm_np1,0.8860149914666228,0.001504248318741148,poor / distorted
sing_medium1.wav,4,dpcm_np3,-1.4145148051355914,0.0025548918117201482,poor / distorted
sing_medium1.wav,3,a_law,7.613283584612853,0.00031958962742908493,poor / distorted
sing_medium1.wav,3,mu_law,5.102284851174969,0.0005697607772656488,poor / distorted
sing_medium1.wav,3,dpcm_np1,-5.850298669888377,0.007094975512856025,poor / distorted
sing_medium1.wav,3,dpcm_np3,-8.062158796904553,0.011806927965507145,poor / distorted
sing_medium1.wav,2,a_law,4.428431529887566,0.0006653924686385946,poor / distorted
sing_medium1.wav,2,mu_law,3.3550524026210784,0.0008519533081872312,poor / distorted
sing_medium1.wav,2,dpcm_np1,-13.953436760795217,0.045842121723015966,poor / distorted
sing_medium1.wav,2,dpcm_np3,-15.410268898238984,0.0641132693734228,poor / distorted
sing_high1.wav,8,a_law,37.89551869342203,3.117256246430805e-06,transparent
sing_high1.wav,8,mu_law,37.81183285464664,3.177906298341502e-06,transparent
sing_high1.wav,8,dpcm_np1,35.7213647274699,5.142661041774815e-06,transparent
sing_high1.wav,8,dpcm_np3,35.59329647697482,5.29657011182865e-06,transparent
sing_high1.wav,7,a_law,32.82156901095174,1.0026918203321868e-05,good
sing_high1.wav,7,mu_law,31.738277462558763,1.2867572590806501e-05,good
sing_high1.wav,7,dpcm_np1,29.646952753632622,2.082711417429269e-05,good
sing_high1.wav,7,dpcm_np3,29.828203167352726,1.997579426471709e-05,good
sing_high1.wav,6,a_law,26.965825445038263,3.8613736505903524e-05,good
sing_high1.wav,6,mu_law,25.675172265919795,5.1976513767705935e-05,good
sing_high1.wav,6,dpcm_np1,23.553325917518496,8.472113814390902e-05,audible artifacts
sing_high1.wav,6,dpcm_np3,23.34248553600176,8.893563691079478e-05,audible artifacts
sing_high1.wav,5,a_law,20.92200442221447,0.00015528300648600448,audible artifacts
sing_high1.wav,5,mu_law,19.19671294501123,0.0002310218613745629,audible artifacts
sing_high1.wav,5,dpcm_np1,17.37342495971291,0.0003515457704929981,noisy but intelligible
sing_high1.wav,5,dpcm_np3,16.572365056669508,0.0004227541382789744,noisy but intelligible
sing_high1.wav,4,a_law,13.790471723018317,0.0008021899207268885,noisy but intelligible
sing_high1.wav,4,mu_law,13.377123784587752,0.0008822912958137993,noisy but intelligible
sing_high1.wav,4,dpcm_np1,11.037253706603526,0.0015121643757547625,poor / distorted
sing_high1.wav,4,dpcm_np3,9.708174785299695,0.0020535576276002375,poor / distorted
sing_high1.wav,3,a_law,6.43284355751775,0.004365560562280078,poor / distorted
sing_high1.wav,3,mu_law,9.227979473776834,0.0022936461893245112,poor / distorted
sing_high1.wav,3,dpcm_np1,4.474964331768053,0.006852167016458747,poor / distorted
sing_high1.wav,3,dpcm_np3,2.127020873000947,0.011765822326571026,poor / distorted
sing_high1.wav,2,a_law,-3.7860385085636676,0.045912212735568315,poor / distorted
sing_high1.wav,2,mu_law,-11.13459865208715,0.2493355696599426,poor / distorted
sing_high1.wav,2,dpcm_np1,-2.5397431008169353,0.03445868367076931,poor / distorted
sing_high1.wav,2,dpcm_np3,-5.269070850416384,0.06459984236553547,poor / distorted
